Grocery_Name, Price in Naira, 
Ugba,300
Achi,300 to 350
Palm Nut (Banga),300 to 1500
Ukpo,300
Chicken Flavour Seasoning,165 to 500
Knorr seasoning cubes (40x8g),550
Guinea Corn (Oka Baba),300 to 1500
Hungry Man Indomie Noodles,200 to 5000
Chikki Chikki,150 to 3000
Indomie Noodles Oriental,100 to 3200
Honeywell Noodles,50 to 1600
Dangote Macaroni,250
Dangote Spaghetti,220 to 250
Honeywell Macaroni,250
Fish seasonings,200 to 600
Basil Leaves (Powdered),100 to 650
Edible Mushrooms,500
Cocoyam,300 to 500
Okazi leaves,200
Waterleaf,100
Ofada Oil,2500
EGUSI SOUP,2000
OHA SOUP,2000
OKRA SOUP,2000
CATFISH PEPPERSOUP,2000
CATFISH PEPPER-SOUP,3500
CATFISH PEPPER-SOUP,5000
OKRA SOUP,3500
OKRA SOUP,5000
OHA SOUP,3500
OHA SOUP,5000
EGUSI SOUP,3500
EGUSI SOUP,5000
Banga Stew/ Ofe Akwu,3500
Banga Stew/ Ofe Akwu,2000
Banga Stew/ Ofe Akwu,5000
Yam,1000 to 1600
Bay Leaf,100
Jollof Spice,600
Nutmeg,50 to 900
Ginger powder,1000
Garlic powder,1200
Maggi Chicken,550
Peal Instant Full Cream Milk Tin 900mg,60 to 2600
Food Colour (Red Colouring),650
Valina extracts,215
Milo,950 to 1500
Golden morn,800 to 1400
3 crown milk(sachet),1600
Peak sachet (1kg),1900
Quarter oats(450gram),900
Cornflakes 350 grm,600
Heinz,605
Poundo potato (1kg),1775
Rice (10kg),4600
Kings oil,50 to 705
Agidi (Eko),50
Tasty Tom Tomato(sachet),53
Gino Pepper & Onion,53
Tasty cube chicken flavor,175
Sarah White Prawn cracker (227g),1000
Ducrus curry power(25g),205
Grounded Achi,100
Grounded Ofor,100
Grounded Cocoyam,100
Tiger nut,100
Dry tiger nut,100
Benny powdered  chicken stock,50 to 1985
Cocoyam,150
Yellow Garri,199 to 955
Ducros curry powder (25g),205
Thailand fish,405.98
One pack of 50cl Fanta Pet (12 in 1),1050
1 pack of 50cl Coca Cola Pet (12 in 1),1050
1 pack of 50cl Sprite Pet (12 in 1),1050
Big Cola/Orange 65cl Pet (12 in 1),1050
Cartoon of 33cl can Malta Guinness (24 in 1),3150
Cartoon of 33cl can Dubic Malt (24 in 1),2750
Pack of Amestle malt  330ml (12 in 1),1450
pack of 33cl Maltina Pet (12 in 1),1450
Cartoon of 33cl can Amestle Malt (24 in 1),3150
Pack of 330ml Dubic Malt Pet (12 in 1),1350
Water melon,100 to 900
1 pack of Ribena (125ml x 16),1085
1 cartoon of Noreos biscuits (72 packets of 28g,1500
1 cartoon of Parle-G biscuit (48 packets),900
Ayoola Poundo Yam flour: 0.9kg,1050
Ayoola Poundo Yam flour (1.8kg),1900.10
Mr Chef Fried rice seasoning (8g sachet),30
Nora Fried rice seasoning (10g sachet),59.09
Onga Classic (6g big sachet),138
Onga Stew (6g big sachet),137
Mr Chef Goat meat spices (8g sachet),30
Bottled Groundnut,1599
Terra ginger and garlic paste (15g sachet),45
Hungry Jack Pancake & Waffle Mix,2500 1700
Uda,150
Ugba,198
Abacha (African Salad),299
Stock fish Tusk (Panla),68
Shredded Stock fish,589
Geisha Mackerel in tomato sauce 155g,250
Stock fish (Cut-cut),473
Costa Mackerel in Tomato sauce 155g,249.99
Exeter Corned Beef 340g,855.55
Exeter Corned Beef 200g,555.55
Goat meat,1698.08
Chicken Gizzard,1599
Ofada Rice,701 to 3303
Fresh Tomatoes,200 to 10000
Vegetable Oil (Ororo),500 to 11800
Palm Oil (Epo),450 to 11000
Uziza Seed,150
Golden Penny Noodles,50 to 1600
Ugu leaves (Pumpkin),100
Rice (Long Grain),450 to 25000
Tatashe Pepper,300 to 7000
Power Oil (Sachet),50
Frozen Chicken (Orobo),2200 to 4000
Garri (White),170 to 15000
Frozen Turkey,900 to 1900
Mangoes,50 to 100
Okro,100
Fresh Pepper (Atarodo),100 to 8900
Onions,100 to 10000
Pomo (Cow Skin),78 to 242
Efo (Green),200 to 250
Ewedu Leaves,100
Ripe Plantain,500 to 1000
Bitterleaf (Onugbu),100
Kings Vegetable Oil,895 to 7000
Smoked Panla Fish,295 to 1000
Titus Fish,667
Green Pepper,100 to 500
Dry Pepper (Grinded),50 to 3333
Oranges,50
Carrot,100
Fresh Assorted meat(Inu Eran),1000 to 2000
Red Chilli Pepper (Shombo),200 to 500
Golden Penny Spaghetti,220 to 250
Locust Beans (Iru),62
Sweet Potato,550
Orijin Alcoholic Beer,250
Heineken Can,300
Derica Tomato Paste (Tin),250 to 750
